name,slide_mean,slide_std,patient_mean,patient_std,n_folds
Fusion_Smart_TransMIL_UNI_p4000_bs32_original_one_hot,0.668315930257845,0.026900208532661302,0.668315930257845,0.026900208532661302,5
WSI_ABMIL_Midnight_p100_bsFull_original_None,0.6438014613665477,0.06918342102049237,0.6438014613665477,0.06918342102049237,5
EarlyEnsemble_Fusion_Naive_ABMIL_VirchowMidnight_p4000_bs32_original_one_hot,0.6402995356605287,0.05085659936150076,0.6402995356605287,0.05085659936150076,5
EarlyEnsemble_Fusion_Naive_TransMIL_VirchowMidnight_p1000_bsFull_original_label_enc,0.6432829668758657,0.04793204763512262,0.6432829668758657,0.04793204763512262,5
WSI_ABMIL_UNI_p4000_bsFull_binary_None,0.6502697128068393,0.059796647713404684,0.6502697128068393,0.059796647713404684,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p100_bs32_binary_label_enc,0.6718737125773799,0.05308508607540452,0.6718737125773799,0.05308508607540452,5
Fusion_Smart_MeanMIL_Midnight_p4000_bsFull_original_label_enc,0.6572483926622514,0.05887720352710358,0.6572483926622514,0.05887720352710358,5
Fusion_Smart_MeanMIL_UNI_p4000_bsFull_original_label_enc,0.6690484981525933,0.05984472142715216,0.6690484981525933,0.05984472142715216,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p1000_bs32_binary_label_enc,0.6594345236099024,0.061187149795444276,0.6594345236099024,0.061187149795444276,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p4000_bs32_original_label_enc,0.6614487619058489,0.047039813865688763,0.6614487619058489,0.047039813865688763,5
WSI_MeanMIL_UNI_p100_bsFull_binary_None,0.6543200156659439,0.04169149453412102,0.6543200156659439,0.04169149453412102,5
Fusion_Smart_ABMIL_Midnight_p100_bsFull_original_label_enc,0.6631360221199026,0.06534540107776161,0.6631360221199026,0.06534540107776161,5
Fusion_Naive_MeanMIL_UNI_p1000_bsFull_original_label_enc,0.6495715937290681,0.042357463802498,0.6495715937290681,0.042357463802498,5
WSI_ABMIL_Virchow_p4000_bs32_original_None,0.6437053379804755,0.03989865820186986,0.6437053379804755,0.03989865820186986,5
Fusion_Smart_MeanMIL_Midnight_p4000_bsFull_original_one_hot,0.6524230638319773,0.06341538735238018,0.6524230638319773,0.06341538735238018,5
Fusion_Smart_TransMIL_UNI_p1000_bs32_original_label_enc,0.6756386939580582,0.03989727501618569,0.6756386939580582,0.03989727501618569,5
Fusion_Smart_TransMIL_Virchow_p4000_bs32_original_one_hot,0.6325665830631715,0.04909629966559726,0.6325665830631715,0.04909629966559726,5
Fusion_Smart_ABMIL_UNI_p1000_bs32_original_one_hot,0.6609696479898775,0.04153949757153093,0.6609696479898775,0.04153949757153093,5
SampleEff_50pct_WSI_MeanMIL_Midnight_p1000_bsFull_original,0.6003355033080382,0.0888236540729566,0.6003355033080382,0.0888236540729566,5
Fusion_Smart_TransMIL_UNI_p1000_bsFull_original_one_hot,0.6865904163539903,0.023499814824616893,0.6865904163539903,0.023499814824616893,5
EarlyEnsemble_Fusion_Smart_ABMIL_VirchowMidnight_p1000_bsFull_original_one_hot,0.6619491156387429,0.04869663708487091,0.6619491156387429,0.04869663708487091,5
Fusion_Smart_ABMIL_Virchow_p1000_bsFull_original_one_hot,0.6581857859617968,0.046043836306920195,0.6581857859617968,0.046043836306920195,5
Fusion_Naive_TransMIL_UNI_p4000_bsFull_original_label_enc,0.6647913984483085,0.040620548136142985,0.6647913984483085,0.040620548136142985,5
Fusion_Naive_MeanMIL_UNI_p1000_bs32_original_one_hot,0.6526127156374493,0.04086917016472184,0.6526127156374493,0.04086917016472184,5
Fusion_Naive_MeanMIL_Virchow_p1000_bsFull_original_label_enc,0.6462975551249904,0.06161612132692183,0.6462975551249904,0.06161612132692183,5
Fusion_Naive_MeanMIL_Midnight_p100_bs32_original_one_hot,0.6598131344184667,0.06822755555340826,0.6598131344184667,0.06822755555340826,5
EarlyEnsemble_WSI_MeanMIL_VirchowMidnight_p4000_bs32_original_None,0.6431721688837471,0.043492824562697124,0.6431721688837471,0.043492824562697124,5
EarlyEnsemble_Fusion_Smart_ABMIL_VirchowMidnight_p100_bs32_binary_one_hot,0.6563545364647128,0.05216704369597861,0.6563545364647128,0.05216704369597861,5
Fusion_Naive_TransMIL_Virchow_p4000_bsFull_original_one_hot,0.6397733309875334,0.04736635431084417,0.6397733309875334,0.04736635431084417,5
WSI_TransMIL_UNI_p1000_bsFull_binary_None,0.6612709806832389,0.0375751691538214,0.6612709806832389,0.0375751691538214,5
Fusion_Naive_MeanMIL_Virchow_p100_bsFull_original_one_hot,0.6502282048469946,0.045073456188287134,0.6502282048469946,0.045073456188287134,5
WSI_MeanMIL_Midnight_p100_bs32_binary_None,0.647788216174335,0.0691133949335565,0.647788216174335,0.0691133949335565,5
Fusion_Smart_TransMIL_Midnight_p4000_bsFull_binary_one_hot,0.6443948162142428,0.059993078993227325,0.6443948162142428,0.059993078993227325,5
Fusion_Naive_ABMIL_UNI_p4000_bs32_original_label_enc,0.665904206659197,0.05805550144481603,0.665904206659197,0.05805550144481603,5
Fusion_Naive_TransMIL_Virchow_p4000_bsFull_binary_label_enc,0.641414307564485,0.04779393711805763,0.641414307564485,0.04779393711805763,5
Fusion_Smart_TransMIL_Midnight_p4000_bs32_binary_one_hot,0.6555780290370403,0.05765934837120698,0.6555780290370403,0.05765934837120698,5
Fusion_Naive_ABMIL_Virchow_p1000_bs32_original_one_hot,0.6592445194245531,0.04922065830982564,0.6592445194245531,0.04922065830982564,5
EarlyEnsemble_Fusion_Smart_TransMIL_VirchowMidnight_p100_bs32_original_one_hot,0.6491319467098793,0.06415862191001771,0.6491319467098793,0.06415862191001771,5
EarlyEnsemble_WSI_TransMIL_VirchowMidnight_p100_bsFull_original_None,0.6474972593690431,0.04835907445919573,0.6474972593690431,0.04835907445919573,5
WSI_ABMIL_Midnight_p1000_bsFull_original_None,0.6398449049630772,0.0790272557559173,0.6398449049630772,0.0790272557559173,5
Fusion_Naive_TransMIL_UNI_p100_bs32_original_label_enc,0.6598498906248305,0.040966245274050905,0.6598498906248305,0.040966245274050905,5
WSI_TransMIL_UNI_p4000_bs32_original_None,0.667165817247952,0.06103214167256425,0.667165817247952,0.06103214167256425,5
EarlyEnsemble_WSI_MeanMIL_VirchowMidnight_p1000_bs32_original_None,0.64019077435923,0.05300250516393953,0.64019077435923,0.05300250516393953,5
Fusion_Smart_MeanMIL_UNI_p100_bs32_original_one_hot,0.6657814590429999,0.03860232223242458,0.6657814590429999,0.03860232223242458,5
Fusion_Naive_ABMIL_Virchow_p1000_bsFull_original_one_hot,0.6526807302453352,0.04642851676438855,0.6526807302453352,0.04642851676438855,5
Fusion_Naive_ABMIL_Midnight_p1000_bsFull_original_label_enc,0.6394004263931943,0.07675579947893436,0.6394004263931943,0.07675579947893436,5
TSOnly_Fusion_Naive_MeanMIL_Midnight_p1000_bsFull_binary_one_hot,0.6398923459719444,0.03133360796606732,0.6398923459719444,0.03133360796606732,5
Fusion_Smart_MeanMIL_Midnight_p4000_bsFull_binary_label_enc,0.6594552035305028,0.06462643469022,0.6594552035305028,0.06462643469022,5
Fusion_Smart_ABMIL_Midnight_p4000_bsFull_original_one_hot,0.649391994447156,0.07787809160077443,0.649391994447156,0.07787809160077443,5
Fusion_Naive_TransMIL_Virchow_p1000_bsFull_original_one_hot,0.6307473389104324,0.05679174207834964,0.6307473389104324,0.05679174207834964,5
Fusion_Smart_MeanMIL_UNI_p100_bsFull_binary_one_hot,0.6675523500927335,0.039812548939384296,0.6675523500927335,0.039812548939384296,5
Fusion_Smart_TransMIL_Virchow_p1000_bs32_binary_label_enc,0.6490940848403506,0.04741055511533519,0.6490940848403506,0.04741055511533519,5
LossComp_ranking_Fusion_Naive_ABMIL_Midnight_p1000_bs32_binary_one_hot,0.6308450560692525,0.061850716280370546,0.6308450560692525,0.061850716280370546,5
